index,name,synopsis,genre,netflix,tiving
36,사도,"18세기 조선. 아버지의 따뜻한 정을 그리워하던 사도 세자, 아버지 영조의 명에 따라 뒤주에 갇힌 채 고독한 죽음을 기다린다. 정녕 나를 자식으로 생각할 순 없는 것이오?","실화 바탕 영화, 시대물, 드라마 장르",1,0
37,덩케르크,"1940년 5월. 육지와 바다, 하늘에서 군인과 민간인 모두가 필사적인 작전에 동참한다. 유럽의 마지막 희망인 영국군과 연합군을 덩케르크에서 철수시켜라!","밀리터리 영화, 영국 작품, 실화 바탕 영화",1,0
38,워 독,마사지 치료사로 근근이 살아가는 20대 청년. 미 정부의 무기 거래를 따내자는 친구의 제안에 귀가 솔깃해진다. 파이가 크면 부스러기도 쏠쏠한 법이라나. 하지만 점차 욕심이 커지면서 부스러기 대신 파이를 노리는 싸움이 시작된다.,"밀리터리 영화, 미국 영화, 코미디",1,0
39,폭격,때는 제2차 세계대전. 아이들로 가득한 학교가 실수로 폭격 임무의 표적이 되면서 여러 코펜하겐 주민들의 운명이 충돌한다. 실제 사건을 기반으로 한 작품.,"덴마크 작품, 밀리터리 영화, 드라마 장르",1,0
40,미이라,보물을 찾던 한 군인이 수 세기 동안 봉인되어 있던 고대 이집트의 공주를 깨운다. 공주는 자신을 망가뜨린 세상에 복수하기만을 기다려 왔는데.,"미국 영화, 액션 & 어드벤처",1,0
41,비스트 오브 노 네이션,서아프리카 소년은 내전으로 가족이 뿔뿔이 흩어지게 되자 어쩔 수 없이 용병대에 들어가 소년병으로 새로 태어난다.,"밀리터리 영화, 미국 영화, 도서 원작 영화",1,0
42,1917,1차 세계 대전이 한창인 1917년. 영국군 병사 블레이크와 스코필드가 적진을 가로지른다. 블레이크의 형을 포함해 수백 명의 목숨을 구할 수 있는 메시지를 전달하기 위해.,"밀리터리 영화, 영국 작품, 시대물",1,0
43,대테러 님로드 작전,"1980년, 무장한 테러범들이 이란 대사관을 점거한다. 협상이 진행되는 한편에서, 위험한 진입 작전을 준비하는 영국 특수부대 군인들. 숨 막히는 6일간의 대치가 이어진다.","영국 작품, 실화 바탕 영화, 액션 & 어드벤처",1,0
44,자산어보,"바다는 속속들이 알고 있지만, 글이 배우고 싶은 청년 어부. 바다 생물에 관한 책을 쓰고 싶어 하는 유배된 학자와 서로 지식을 교환하기로 한다.","시대물, 도서 원작 영화, 드라마 장르",1,0
45,관상,"칩거하던 조선 최고 관상가, 한 기생의 제안으로 한양에 간다. 뛰어난 관상술로 사헌부에 등용되고 입궐까지 하게 되니 대운일까? 하지만 때는 왕위를 둘러싼 권력 암투가 절정에 달한 시대. 거대한 시운에 휘말린 그의 운명이 위태롭다.","시대물, 드라마 장르",1,0
46,원샷,"CIA 분석가와 해군 특수 부대원들이 도착한 일급비밀의 섬. 이곳에 갇힌 한 남자를 이송하려던 중, 갑자기 들이닥친 무장 세력의 공격으로 이들은 독 안에 든 쥐가 된다.","밀리터리 영화, 영국 작품, 액션 & 어드벤처",1,0
47,이스턴 프라미스,병원에서 아이를 낳던 소녀가 숨졌다. 이후 간호사는 소녀의 일기장에서 충격적인 사실을 발견한다. 그러자 러시아 마피아가 '가족'의 비밀을 지키려 행동에 나서는데.,"미스터리, 미국 영화, 스릴러 영화",1,0
48,이상한 나라의 수학자,학업과 재정 측면에서 어려움을 겪고 있는 학생. 학교 경비원에게 수학을 가르쳐 달라고 요청한다. 그리고 성적보다 훨씬 더 많은 것을 얻게 되는데.,드라마 장르,1,0
